impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-115394,A574900,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ember,Cat,12 YEARS 5 MONTHS,Neutered Male,Domestic Shorthair,Gray / White,2/16/19 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574900,Image Copyright HLP Inc. 2019,"Received on: 2019-02-16<p/> Description: Gray / White Neutered Male Domestic Shorthair Cat<p/> Age: 12 YEARS 5 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Ember and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 11/16/18.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>",GREEN
K19-115456,A579958,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Brina,Cat,12 YEARS 2 MONTHS,Spayed Female,Domestic Shorthair,Calico,2/20/19 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579958,Image Copyright HLP Inc. 2019,"Received on: 2019-02-20<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 12 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Brina and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 02/20/19.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-115473,A564257,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A564257,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Buster,Dog,4 YEARS 9 MONTHS,Neutered Male,Pit Bull / Mix,Br Brindle / White,2/21/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A564257,Image Copyright HLP Inc. 2019,"Received on: 2019-02-21<p/> Description: Br Brindle / White<p/>  Neutered Male Pit Bull / Mix Dog<p/> Age: 4 YEARS 9 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Buster and I am available for adoption. I was brought in by my previous owner on 2/21/19 because I did not enjoy living with another dog. <p/><p/>I am an energetic guy who would love to be your hiking partner! I would also make a great cuddle buddy and I just adore belly rubs! I love my favorite people so much that I sometimes display separation anxiety, but I do feel safe if kept crated when I'm left alone.<p/><p/>I am a very smart dog and I already know ""sit,"" ""stay,"" ""come,"" ""down"" and ""shake."" I am still working on my manners, so I would so best with a family who can work with me and help me become the best dog I can be. <p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or need to meet other dogs in the home first. I also may do best in a home without children.<p/><p/>My personality color is RED, meaning I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K19-115994,A577657,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A577657,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Franco,Dog,6 YEARS 4 MONTHS,Neutered Male,American Bulldog / Mix,Tan / White,3/22/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577657,Image Copyright HLP Inc. 2019,"Received on: 2019-03-22<p/> Description: Tan / White<p/>  Neutered Male American Bulldog / Mix Dog<p/> Age: 6 YEARS 4 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Franco and I am available for adoption.<p/><p/>I was brought in by my previous adopter on March 22, 2019 because I was not a good fit for a home with cats. My previous owner described me as happy and affectionate! They said I liked long walks and snuggling on the couch, but I can also be stubborn sometimes.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K19-116317,A497023,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A497023,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Sasha,Cat,8 YEARS 11 MONTHS,Spayed Female,Domestic Longhair,Tortie / Gray,4/6/19 0:00,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A497023,Image Copyright HLP Inc. 2019,"Received on: 2019-04-06<p/> Description: Tortie / Gray<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 8 YEARS 11 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Sasha and I am available for adoption. I was brought in by my previous owner on 4/6/19.  They said I am a sweet cat that likes to be petted and get belly rubs.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats. I may do best as the only pet in the home. <p/><p/>I can be picky about my litter box and I prefer to have wheat litter in an extra large litter box with high sides. I also prefer to have my litter box in a quiet area with daily cleaning. I do best when I do not have the opportunity to soil on piles of laundry or towels on the floor, so it would be best to limit my access to these things in my new home. <p/><p/>My personality color is RED. I am an affectionate cat with a fun-loving personality!  I enjoy getting attention, but I can get overstimulated, so please look for signs that I am done being petted.  I love having a cat tree to sit on and watch the day go by.<p/>",RED
K19-116372,A582522,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A582522,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Big Bertha,Cat,3 YEARS 1 MONTH,Spayed Female,Domestic Longhair,Black,4/8/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A582522,Image Copyright HLP Inc. 2019,"Received on: 2019-04-08<p/> Description: Black<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 3 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Bertha and I am available for adoption.<p/><p/>I was brought in by a good samaritan on April 8, 2019. <p/><p/>I am an incredibly sweet cat who loves attention! I'm playful and active and I love to jump around!  I also love being groomed and getting brushed. I'm just an overall sweet cat!  I came into the shelter with a bad wound on my back end so I'm still healing. You will notice my bad haircut.  Luckily with time that hair will grow back and I will return to my beautiful self!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K19-116372,A582522,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A582522,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Big Bertha,Cat,3 YEARS 1 MONTH,Spayed Female,Domestic Longhair,Black,4/8/19 0:00,Received on,24400 SE 470TH ST,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A582522,Image Copyright HLP Inc. 2019,"Received on: 2019-04-08<p/> Found Near: 24400 SE 470TH ST, ENUMCLAW WA 98022<p/> Description: Black Spayed Female Domestic Longhair Cat<p/> Age: 3 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-116396,A567385,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A567385,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Angel,Dog,3 YEARS 5 MONTHS,Spayed Female,Labrador Retriever / Pit Bull,Black / White,4/9/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A567385,Image Copyright HLP Inc. 2019,"Received on: 2019-04-09<p/> Description: Black / White<p/>  Spayed Female Labrador Retriever / Pit Bull Dog<p/> Age: 3 YEARS 5 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Angel and I am available for adoption.<p/><p/>I was brought in by my previous owner on April 9, 2019 because they had too many dogs. I lived in a home with other dogs, and older children. I'm very sweet but I am a bit of a scaredy cat!  I am looking for a home where I can live in a nice and calm environment. I love to snuggle and give face kisses but please respect my space until we've established a relationship!  <p/><p/>I do like other dogs, but I'd like to get to know them first. I can be very afraid of them, so I would like to meet them and make sure we're a good match. I will likely get along with a calm dog who gives me lots of space. <p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-116550,A583178,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583178,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Popeye,Cat,11 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Org Tabby / White,4/17/19 0:00,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583178,Image Copyright HLP Inc. 2019,"Received on: 2019-04-17<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 11 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Popeye and I am available for adoption.<p/><p/>I was brought in by my previous owner on 4/17/19 because they were moving. I lived in a home with other cats and have been around men, women and children of all ages. My previous owner described me as shy, gentle, sweet and mellow. I love to be petted, held and sit in your lap.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/>",
K19-116559,A583233,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583233,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Tiger,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,4/18/19 0:00,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583233,Image Copyright HLP Inc. 2019,"Received on: 2019-04-18<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Tiger and I am available for adoption. I was brought in by an Animal Control Officer on April 18, 2019.<p/><p/>I'm super sweet but very nervous in this environment. If you go slow and give me head and neck pets I will start to warm up to you. I don't really enjoy being held, I'm a little bit independent and it makes me uncomfortable. I haven't ever lived with a cat, but I think I would probably like them and would give it a try. <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-116568,A583284,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Mediumhair,Calico,4/19/19 0:00,Received on,18600 SE 128TH ST,RENTON,WA,98059,KING COUNTY,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-04-19<p/> Found Near: 18600 SE 128TH ST, RENTON WA 98059<p/> Description: Calico Unaltered Domestic Mediumhair Cat<p/> Age: NO AGE<p/>",
